id,tenant_id,plant_id,timestamp,active_power_kw,energy_kwh,daily_yield_kwh,inv1_ac_kw,inv1_dc_kw,inv1_eff,inverter_data,irradiance_wm2,temp_c,humidity,wind_mps,rain_prob,alarm_code,severity
1,1,1,2026-01-31T18:30:00Z,0.0,0.0,0.0,0.0,0.0,0.9401,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 0.0, ""dc_kw"": 0.0, ""eff"": 0.9401}}",0.0,27.4,71.1,2.66,55.9,,
2,1,1,2026-01-31T18:35:00Z,2.7,0.2247,0.22,0.54,0.57,0.9487,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 0.54, ""dc_kw"": 0.57, ""eff"": 0.9487}}",0.0,27.0,67.2,1.76,64.4,,
3,1,1,2026-01-31T18:40:00Z,0.0,0.0,0.22,0.0,0.0,0.9458,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 0.0, ""dc_kw"": 0.0, ""eff"": 0.9458}}",5.4,27.5,67.0,2.55,65.1,,
4,1,1,2026-01-31T18:45:00Z,33.47,2.7888,3.01,6.69,6.86,0.9751,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 6.69, ""dc_kw"": 6.86, ""eff"": 0.9751}}",27.4,26.7,67.6,1.63,67.3,,
5,1,1,2026-01-31T18:50:00Z,33.43,2.7862,5.8,6.69,6.92,0.9666,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 6.69, ""dc_kw"": 6.92, ""eff"": 0.9666}}",13.8,27.1,72.8,1.99,62.9,,
6,1,1,2026-01-31T18:55:00Z,8.88,0.7401,6.54,1.78,1.88,0.9424,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 1.78, ""dc_kw"": 1.88, ""eff"": 0.9424}}",21.7,27.1,71.2,1.56,58.0,,
7,1,1,2026-01-31T19:00:00Z,0.0,0.0,6.54,0.0,0.0,0.9482,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 0.0, ""dc_kw"": 0.0, ""eff"": 0.9482}}",0.0,26.4,68.7,2.33,60.1,,
8,1,1,2026-01-31T19:05:00Z,13.75,1.1456,7.69,2.75,2.91,0.9462,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 2.75, ""dc_kw"": 2.91, ""eff"": 0.9462}}",0.0,27.7,70.9,2.29,57.2,,
9,1,1,2026-01-31T19:10:00Z,20.57,1.7143,9.4,4.11,4.23,0.9737,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 4.11, ""dc_kw"": 4.23, ""eff"": 0.9737}}",0.0,27.8,70.8,2.22,64.9,,
10,1,1,2026-01-31T19:15:00Z,26.57,2.2145,11.61,5.31,5.43,0.9782,"{""inv_count"": 5, ""inv1"": {""ac_kw"": 5.31, ""dc_kw"": 5.43, ""eff"": 0.9782}}",0.0,26.3,68.9,1.85,57.8,,
